_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
BA;MALHADA DE PEDRAS;mesorregiao;1477.0;;;1464.0;7518.0;450.0;;baixa
BA;MORTUGABA;mesorregiao;1393.0;;153.0;1307.0;3966.0;69.0;;baixa
BA;PALMAS DE MONTE ALTO;mesorregiao;118.0;;22.0;51.0;31851.0;945.0;;baixa
BA;PINDAI;mesorregiao;3139.0;;89.0;3095.0;13006.0;550.0;;baixa
BA;ANTONIO GONÇALVES;municipio;1414.0;25897.0;421.0;419.0;201.0;;2510.0;baixa
BA;CALDEIRÃO GRANDE;municipio;2327.0;79891.0;91.0;1544.0;2188.0;;7713.0;baixa
BA;CAMPO FORMOSO;municipio;8496.0;313566.0;2170.0;24702.0;7633.0;;36164.0;baixa
BA;JAGUARARI;municipio;2732.0;44534.0;285.0;548.0;2193.0;;5699.0;baixa
BA;MIRANGABA;municipio;3124.0;92205.0;798.0;6589.0;2568.0;;9316.0;baixa
BA;PINDOBAÇU;municipio;4223.0;82429.0;156.0;181.0;4011.0;;12441.0;baixa
BA;SAUDE;municipio;1423.0;37179.0;145.0;148.0;282.0;;2423.0;baixa
BA;SENHOR DO BONFIM;municipio;5752.0;104027.0;744.0;1370.0;5297.0;;13017.0;baixa
BA;CORREDEIRAS DO SÃO FRANCISCO;microrregiao;11921.0;421863.0;554.0;2376.0;9589.0;;42061.0;alta
BA;ABARE;municipio;1049.0;25340.0;10.0;26.0;905.0;;3352.0;alta
BA;CHORROCHO;municipio;1534.0;42311.0;104.0;37.0;1426.0;;3634.0;alta
BA;CURAÇA;municipio;3040.0;126803.0;114.0;218.0;2025.0;;11268.0;alta
BA;JUAZEIRO;municipio;4657.0;199495.0;28.0;1724.0;3767.0;;20325.0;alta
BA;MACURURE;municipio;1224.0;19860.0;286.0;347.0;1116.0;;1506.0;alta
BA;RODELAS;municipio;417.0;8052.0;12.0;21.0;350.0;;1975.0;alta
BA;LESTE BAIANO;mesorregiao;348233.0;1773421.0;;564371.0;291432.0;;903642.0;baixa
BA;PIEMONTE DA DIAMANTINA;microrregiao;36425.0;2109979.0;6.0;58959.0;;;;baixa
BA;BAIXA GRANDE;municipio;2869.0;96751.0;82.0;68.0;2493.0;;6207.0;baixa
BA;BOA VISTA DO TUPIM;municipio;833.0;229187.0;113.0;229.0;1552.0;;7974.0;baixa
BA;CAEM;municipio;1629.0;55404.0;247.0;279.0;1218.0;;3345.0;baixa
BA;(BIQUERA;municipio;579.0;115109.0;17.0;24.0;522.0;;2701.0;baixa
BA;ITABERABA;municipio;2278.0;215113.0;216.0;423.0;2060.0;568.0;;baixa
BA;JACOBINA;municipio;9021.0;438181.0;2063.0;4199.0;7835.0;;44482.0;baixa
BA;LAJEDINHO;municipio;478.0;68399.0;38.0;56.0;438.0;;3830.0;baixa
BA;MACAJUBA;municipio;812.0;57976.0;54.0;29.0;692.0;;2182.0;baixa
BA;MAIRI;municipio;3630.0;129440.0;479.0;3627.0;2853.0;;7969.0;baixa
BA;MIGUEL CALMON;municipio;3209.0;122195.0;759.0;2639.0;2537.0;;7290.0;baixa
BA;MUNDO NOVO;municipio;644.0;142559.0;572.0;1615.0;1201.0;;5799.0;baixa
BA;PIRITIBA;municipio;2106.0;104996.0;412.0;1116.0;1803.0;;8777.0;baixa
BA;RUY BARBOSA;municipio;1765.0;196973.0;226.0;609.0;1626.0;;8810.0;baixa
BA;SERRO LAND IA;municipio;2863.0;57561.0;196.0;1638.0;2528.0;609.0;;baixa
BA;TAP I RAMUT A;municipio;751.0;55032.0;586.0;5143.0;442.0;;2474.0;baixa
BA;VARZEA;municipio;958.0;25097.0;35.0;259.0;841.0;;3156.0;baixa
BA;SERTÃO DE CANUDOS;microrregiao;42917.0;1163697.0;9469.0;66032.0;39038.0;;125200.0;baixa
BA;CANSANÇÃO;municipio;170.0;97328.0;1875.0;8891.0;4613.0;;11257.0;baixa
BA;EUCLIDES DA CUNHA;municipio;7826.0;224210.0;656.0;341.0;7289.0;;21431.0;baixa
BA;ITIUBA;municipio;4713.0;143041.0;931.0;8985.0;4279.0;;9090.0;baixa
BA;MONTE SANTO;municipio;8571.0;164818.0;2443.0;14384.0;8077.0;;22611.0;baixa
BA;QUEIMADAS;municipio;4467.0;189319.0;1625.0;17986.0;3516.0;;6870.0;baixa
BA;QUIJINGUE;municipio;4291.0;100312.0;782.0;4922.0;4034.0;;12171.0;baixa
BA;TUCANO;municipio;4648.0;139542.0;837.0;3932.0;4269.0;;31349.0;baixa
BA;AREA INFOR- AREA INFOR- AREA INFOR- AREA I NFOR- AREA INFOR- AREA;mesorregiao;;;;;;;;baixa
BA;MANTES MANTES MANTES MANTES MANTES;microrregiao;;;;;;;;baixa
BA;SERRINHA;microrregiao;39164.0;;135216.0;33040.0;73522.0;5976.0;;baixa
BA;ARACI;municipio;5000.0;;17119.0;4646.0;15715.0;552.0;;baixa
BA;BIRITINGA;municipio;1986.0;;;1868.0;5576.0;76.0;;baixa
BA;CANOEAL;municipio;1041.0;;278.0;770.0;1367.0;26.0;;baixa
BA;CONCEIÇÃO;mesorregiao;5204.0;;21174.0;4366.0;6639.0;588.0;;baixa
BA;ICHU;mesorregiao;645.0;;446.0;519.0;684.0;10.0;;baixa
BA;LAMARÂO;municipio;1660.0;;36.0;1437.0;2797.0;326.0;;baixa
BA;RETIROLANDIA;municipio;1545.0;;8605.0;1116.0;1437.0;116.0;;baixa
BA;RIACHÂO DO JACUIPE;municipio;7981.0;;25365.0;6226.0;18406.0;526.0;;baixa
BA;SANTALUZ;municipio;2266.0;;30261.0;1574.0;2695.0;488.0;;baixa
