_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
ES;BAIXADA ESPI RITO-SANTENSE;microrregiao;3581.0;927.0;3226.0;971.0;935.0;1982.0;1448.0;1417.0;media
ES;ARACRUZ;municipio;198.0;50.0;173.0;54.0;60.0;50.0;112.0;;media
ES;CONCEIÇÃO DA BARRA;municipio;26.0;25.0;30.0;50.0;22.0;16.0;;;media
ES;FUNDÃO;municipio;112.0;15.0;100.0;15.0;20.0;45.0;13.0;53.0;media
ES;JAGUARE;municipio;117.0;12.0;109.0;23.0;14.0;62.0;34.0;32.0;media
ES;LINHllRES;municipio;1519.0;195.0;207.0;934.0;843.0;555.0;;;media
ES;PEDRO CANAR I;municipio;125.0;116.0;30.0;52.0;44.0;40.0;81.0;;media
ES;PINHEIROS;municipio;449.0;239.0;414.0;253.0;255.0;320.0;175.0;211.0;media
ES;RIO BANANAL;municipio;467.0;125.0;423.0;135.0;79.0;172.0;147.0;;media
ES;SÃO MATEUS;municipio;507.0;227.0;379.0;229.0;176.0;99.0;210.0;;media
ES;COL, SERRANA ESPIRITO-SANTENSE;microrregiao;278.0;2630.0;5912.0;1193.0;698.0;1235.0;;;media
ES;AFONSO CLAUDIO;municipio;622.0;40.0;600.0;120.0;141.0;161.0;89.0;334.0;media
ES;ALFREDO CHAVES;municipio;272.0;;264.0;22.0;34.0;100.0;29.0;188.0;media
ES;DOMINGOS MARTINS;municipio;509.0;19.0;502.0;109.0;143.0;267.0;165.0;;media
ES;IBIRAÇU;municipio;91.0;14.0;14.0;29.0;28.0;26.0;45.0;;media
ES;ITAGUAÇU;municipio;10.0;357.0;62.0;47.0;202.0;70.0;239.0;;media
ES;ITARANA;municipio;40.0;94.0;30.0;14.0;41.0;12.0;46.0;;media
ES;SANTA LEOPOLDINA;municipio;358.0;90.0;277.0;123.0;60.0;137.0;46.0;66.0;media
ES;SANTA TERESA;municipio;57.0;452.0;112.0;119.0;257.0;245.0;152.0;;media
ES;VERTENTE ORIENTAL DO CAPARAO;microrregiao;935.0;76.0;907.0;134.0;153.0;303.0;474.0;;media
ES;CASTELO;municipio;35.0;13.0;26.0;;;;;17.0;media
ES;CONCEIÇÃO DO CASTELO;municipio;145.0;33.0;136.0;23.0;39.0;27.0;54.0;;media
ES;IUNA;municipio;263.0;17.0;257.0;51.0;39.0;95.0;58.0;110.0;media
ES;MUNIZ FREIRE;municipio;406.0;;403.0;41.0;53.0;107.0;72.0;249.0;media
ES;CACHOEIRO DE ITAPEMIRIM;microrregiao;3111.0;243.0;30.0;575.0;656.0;666.0;2338.0;;media
ES;ALEGRE;municipio;595.0;20.0;579.0;69.0;107.0;91.0;466.0;;media
ES;APIACA;municipio;156.0;14.0;155.0;25.0;21.0;14.0;137.0;;media
ES;ATILIO VIVACQUA;municipio;224.0;210.0;68.0;46.0;83.0;43.0;154.0;;media
ES;BOM JESUS DO NORTE;municipio;65.0;;64.0;16.0;22.0;16.0;15.0;59.0;media
ES;CACHOEIRO DE ITAPEMIRIM;municipio;750.0;57.0;736.0;149.0;270.0;507.0;;;media
ES;DIVINO DE SÃO LOURENÇO;municipio;;;;;;;;;media
ES;VITORIA;mesorregiao;;381.0;45.0;363.0;85.0;73.0;169.0;62.0;alta
ES;VITORIA;microrregiao;;381.0;45.0;363.0;85.0;73.0;169.0;62.0;alta
ES;CARIACICA;municipio;;99.0;;99.0;17.0;17.0;47.0;28.0;media
ES;SERRA;municipio;;111.0;30.0;98.0;44.0;25.0;26.0;12.0;media
ES;VIANA;municipio;;158.0;11.0;153.0;20.0;25.0;91.0;15.0;media
ES;VILA VELHA;municipio;;;;;;2.0;;;media
ES;VITORIA;municipio;;;;;3.0;;;;media
GO;TOTAIS;total;77956.0;38750.0;60895.0;38677.0;18590.0;15967.0;46519.0;;alta
GO;NORDESTE GOIANO;mesorregiao;7039.0;3030.0;5962.0;2992.0;1977.0;1146.0;4887.0;;alta
GO;SÃO MIGUEL DO ARAGUAIA;microrregiao;1899.0;545.0;1720.0;414.0;372.0;192.0;262.0;;alta
GO;CRI XAS;municipio;693.0;109.0;651.0;84.0;78.0;58.0;547.0;;alta
GO;MOZARLANOIA;municipio;245.0;116.0;201.0;113.0;85.0;46.0;133.0;;alta
GO;MUNDO NOVO;municipio;105.0;23.0;98.0;17.0;18.0;19.0;91.0;;alta
GO;NOVA CAIXAS;municipio;393.0;105.0;366.0;53.0;70.0;50.0;297.0;;alta
GO;SÃO MIGUEL;municipio;463.0;192.0;404.0;147.0;121.0;19.0;368.0;;alta
GO;RIO VERMELHO;microrregiao;3240.0;368.0;2794.0;1492.0;964.0;554.0;2302.0;;alta
GO;AFlAGUAPAZ;municipio;174.0;37.0;169.0;46.0;38.0;44.0;145.0;;alta
GO;ARUANÂ;municipio;237.0;101.0;213.0;95.0;40.0;28.0;164.0;;alta
GO;BRITAN(A;municipio;59.0;19.0;55.0;19.0;15.0;16.0;51.0;;alta
GO;GOIAS;municipio;1474.0;423.0;1414.0;537.0;398.0;151.0;1174.0;;alta
GO;ITAPIRAPUÂ;municipio;559.0;309.0;408.0;309.0;139.0;152.0;342.0;;alta
GO;.JUSSARA;municipio;737.0;;535.0;486.0;334.0;163.0;426.0;;alta
GO;ARAGARÇAS;microrregiao;1900.0;1117.0;1448.0;1086.0;641.0;400.0;1149.0;;alta
GO;ARAGARÇAS;municipio;19.0;;19.0;;;;13.0;;alta
GO;ARENOPOL( S;municipio;292.0;129.0;260.0;146.0;106.0;106.0;232.0;;alta
GO;BALIZA;municipio;116.0;58.0;80.0;75.0;54.0;;43.0;;alta
GO;BOM JARDIM DE GOIAS;municipio;284.0;167.0;202.0;159.0;92.0;83.0;130.0;;alta
GO;DIORAMA;municipio;208.0;117.0;162.0;110.0;28.0;26.0;140.0;;alta
GO;MONTES CLAROS DE GOIAS;municipio;501.0;323.0;362.0;303.0;110.0;72.0;301.0;;alta
GO;PIRANHAS;municipio;480.0;317.0;363.0;285.0;247.0;103.0;290.0;;alta
GO;NORTE GOIANO;mesorregiao;7763.0;2125.0;6889.0;2686.0;1571.0;1511.0;5345.0;;alta
GO;PORANGATU;microrregiao;6384.0;1971.0;5583.0;2325.0;1259.0;223.0;4446.0;;alta
GO;CAMPINAÇU;municipio;370.0;;;;;;;;alta
