_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
BA;SAUDE;municipio;423.0;110.0;62.0;71.0;55.0;54.0;11.0;media
BA;SENHOR;municipio;5752.0;196.0;59.0;149.0;66.0;121.0;26.0;media
BA;CORREDEIRAS DO SÂO FRANCISCO;microrregiao;11921.0;2114.0;933.0;1821.0;1621.0;379.0;;media
BA;ABARE;municipio;1049.0;214.0;;210.0;133.0;201.0;;media
BA;CHORROCHO;municipio;1534.0;17.0;;16.0;;15.0;;media
BA;CURAÇA;municipio;3040.0;169.0;305.0;104.0;76.0;;;media
BA;JUAZEIRO;municipio;4657.0;1189.0;548.0;1066.0;442.0;948.0;124.0;media
BA;MACURURE;municipio;1224.0;67.0;66.0;14.0;49.0;17.0;;media
BA;RODELAS;municipio;417.0;219.0;145.0;210.0;53.0;172.0;161.0;media
BA;LESTE BAIANO;microrregiao;348233.0;82422.0;55788.0;54273.0;27912.0;47649.0;15296.0;media
BA;PIEMONTE DA DIAMANTINA;microrregiao;36425.0;7914.0;4616.0;5011.0;2853.0;5050.0;932.0;media
BA;BAIXA GRANDE;municipio;2869.0;419.0;156.0;341.0;301.0;57.0;;media
BA;BOA VISTA DO TUPIM;municipio;1833.0;74.0;37.0;48.0;57.0;32.0;;media
BA;CAEM;municipio;629.0;293.0;120.0;233.0;70.0;210.0;;media
BA;(BIQUERA;municipio;579.0;43.0;19.0;34.0;32.0;11.0;18.0;media
BA;ITABERABA;municipio;2278.0;106.0;31.0;87.0;67.0;35.0;29.0;media
BA;JACOBINA;municipio;9021.0;2535.0;2223.0;611.0;2031.0;290.0;;media
BA;LAJEDINHO;municipio;10.0;;;;;;;media
BA;MACAJUBA a;municipio;73.0;63.0;15.0;;;;;media
BA;MAIRI;municipio;3630.0;1566.0;1150.0;573.0;493.0;1100.0;;media
BA;MIGUEL CALMON;municipio;3209.0;254.0;61.0;217.0;71.0;175.0;33.0;media
