_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
BA;PIEMONTE DA DIAMANTINA;microrregiao;150523.0;94363.0;76859.0;56160.0;43168.0;baixa
BA;BAIXA GRANDE;microrregiao;;5326.0;;;3442.0;baixa
BA;BOA VISTA;microrregiao;130804.0;8650.0;5203.0;4223.0;3447.0;baixa
BA;CAEM;microrregiao;;4798.0;;;2667.0;baixa
BA;(BIQUERA;microrregiao;;2231.0;;;1048.0;baixa
BA;ITABERABA;microrregiao;;6730.0;;;3888.0;baixa
BA;JACOBINA;microrregiao;;24614.0;;;14863.0;baixa
BA;LAJEDINHO;microrregiao;;1472.0;;;879.0;baixa
BA;MACAJUBA;microrregiao;;2260.0;;;1743.0;baixa
BA;MAIRI;microrregiao;;7569.0;;;4824.0;baixa
BA;MIGUEL CALMON;microrregiao;;7459.0;;;4340.0;baixa
BA;MUNDO NOVO, . , , s;microrregiao;;5343.0;;;2520.0;baixa
BA;PIRITIBA;microrregiao;;4252.0;;;1987.0;baixa
BA;RUY BARBOSA;microrregiao;;6697.0;;;4038.0;baixa
BA;SERROLANDIA;microrregiao;;5599.0;;;3672.0;baixa
BA;TAP I RAMUT A;microrregiao;;2852.0;;;1733.0;baixa
BA;VARZEA;microrregiao;0.0;3027.0;958.0;1736.0;69.0;baixa
BA;SERTÃO DE CANUDOS;microrregiao;;102964.0;;;78241.0;baixa
BA;CANSANÇÂO;microrregiao;;10697.0;;;8200.0;baixa
BA;EUCLIDES DA CUNHA;microrregiao;31097.0;17449.0;12745.0;13648.0;9659.0;baixa
BA;ITIUBA;microrregiao;;10776.0;;;8876.0;baixa
BA;MONTE SANTO;microrregiao;;18090.0;;;14974.0;baixa
BA;QUEIMADAS;microrregiao;;10558.0;;;6476.0;baixa
BA;QUIJINGUE;microrregiao;;9886.0;;;311.0;baixa
BA;TUCANO;microrregiao;;15467.0;;;10424.0;baixa
BA;SERRINHA;microrregiao;;87895.0;;;61625.0;baixa
BA;ARACI;microrregiao;;;;;8269.0;baixa
BA;HOMENS MULHERES HOMENS MULHERES;mesorregiao;;;;;;baixa
BA;E MAIS E MAIS E MAIS E MAIS;municipio;;;;;;baixa
