_uf;_label;_level;estab_total;num_pessoas_total;estab_menos_5;num_pessoas_menos_5;estab_5_a_10;num_pessoas_5_a_10;confianca
BA;SENHOR DO BONFIM;microrregiao;2901.0;98710.0;;22711.0;;50008.0;baixa
BA;ANTONIO GONÇALVES;municipio;;4716.0;;1129.0;;2320.0;baixa
BA;CALDE RÃO GRANDE;municipio;327.0;10011.0;;;;3213.0;baixa
BA;CAMPO FORMOSO;municipio;806.0;31905.0;;6030.0;;13557.0;baixa
BA;JAGUARARI;municipio;2732.0;8709.0;;2239.0;;351.0;baixa
BA;MIRANGABA;municipio;120.0;10858.0;;2352.0;;561.0;baixa
BA;PINDOBAÇU;municipio;223.0;12366.0;;3544.0;;7937.0;baixa
BA;SAUDE;municipio;23.0;3011.0;;1300.0;;250.0;baixa
BA;SENHOR DO BONFIM;municipio;752.0;17090.0;;625.0;;518.0;baixa
BA;CORREDEIRAS DO SÃO FRANCISCO;microrregiao;11921.0;56383.0;;;;18655.0;baixa
BA;ABARE;municipio;1008.0;6563.0;;16.0;;226.0;baixa
BA;CHORROCHO;municipio;1530.0;6007008.0;;166.0;;2630.0;baixa
BA;CURAÇA;municipio;3000.0;;;936.0;;982.0;baixa
BA;JUAZEIRO;municipio;157.0;22201.0;;172.0;;7673.0;baixa
BA;MACURURE;municipio;1220.0;50.0;;691.0;;1722.0;baixa
BA;RODELAS;municipio;17.0;2052.0;;275.0;;22.0;baixa
BA;LESTE BAIANO;microrregiao;308233.0;1395112.0;;;;553997.0;baixa
BA;PIEMONTE DA DIAMANTINA;municipio;36025.0;150523.0;;25195.0;;55877.0;baixa
BA;BAIXA GRANDE;municipio;;;;;;;baixa
BA;BOA VISTA DO TUPIM;municipio;1833.0;8650.0;;1189.0;;2960.0;baixa
BA;'CAEM;municipio;1829.0;705.0;;1005.0;;333.0;baixa
BA;IBIQUERA;municipio;579.0;3279.0;;327.0;;676.0;baixa
BA;ITABERABA;municipio;2278.0;10618.0;;1167.0;;3902.0;baixa
BA;JACOBINA;municipio;9021.0;39077.0;;5806.0;;1330.0;baixa
BA;LAJEDINHO;municipio;178.0;2351.0;;291.0;;705.0;baixa
BA;MACAJUBA;municipio;812.0;3.0;;;;26.0;baixa
BA;MAIA(;municipio;630.0;12393.0;;2720.0;;70.0;baixa
BA;MIGUEL CALMON;municipio;209.0;11799.0;;358.0;;15.0;baixa
BA;MUNDO NOVO;municipio;16.0;7863.0;;1090.0;;2081.0;baixa
BA;uo PIRITIBA;mesorregiao;2106.0;239.0;;1730.0;;140.0;baixa
BA;RUV BARBOSA;municipio;1765.0;10735.0;;879.0;;;baixa
BA;SERROLANDIA;municipio;2863.0;9271.0;;2202.0;;4091.0;baixa
BA;TAPIRAMUTA;municipio;113.0;751.0;585.0;1218.0;175.0;1126.0;baixa
BA;VARZEA DO POÇO;municipio;958.0;3027.0;;717.0;;1532.0;baixa
BA;SERTÃO DE CANUDOS;municipio;2917.0;181205.0;;28360.0;;66309.0;baixa
BA;CANSANÇÃO;municipio;170.0;19897.0;;727.0;;8031.0;baixa
BA;EUCLIDES DA CUNHA;municipio;7826.0;31097.0;;371.0;;12004.0;baixa
BA;ITIUBA;municipio;713.0;19652.0;;3040.0;;7379.0;baixa
BA;MONTE SANTO;municipio;8571.0;33060.0;;6059.0;;13.0;baixa
BA;QUEIMADAS;municipio;4087.0;17034.0;;3211.0;;7158.0;baixa
BA;QUIJINQUE;municipio;291.0;18263.0;;2677.0;;283.0;baixa
BA;TUCANO;municipio;4608.0;25891.0;;2617.0;;352.0;baixa
BA;SERRINHA;municipio;3910.0;9520.0;;27386.0;;60132.0;baixa
BA;AAACI;municipio;0.0;18510.0;;;;;baixa
BA;BIRITINGA;municipio;986.0;7265.0;;;;3055.0;baixa
BA;CANDEAL;municipio;1001.0;3610.0;;815.0;;892.0;baixa
BA;ICHU;municipio;5.0;2808.0;;393.0;;922.0;baixa
BA;LAMAAÃO;municipio;660.0;5752.0;;20.0;;746.0;baixa
BA;RETIROLANDIA;municipio;150.0;;5.0;1161.0;;2605.0;baixa
BA;FEIRA DE SANTANA;municipio;;;18362.0;44135.0;;98170.0;baixa
BA;AGUA FRIA;municipio;;;8356.0;2210.0;;4631.0;baixa
