_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
BA;CENTRAL;microrregiao;126.0;24136.0;;110.0;85.0;610.0;346.0;2279.0;media
BA;GENTIO DO OURO;microrregiao;2305.0;65292.0;;;;;172.0;328.0;media
BA;IBIPEBA;microrregiao;1374.0;77699.0;;151.0;153.0;888.0;667.0;3016.0;media
BA;IBITITA;microrregiao;1484.0;33427.0;;116.0;174.0;781.0;656.0;2447.0;media
BA;IRECE;microrregiao;4705.0;231801.0;;715.0;422.0;2833.0;1556.0;11559.0;media
BA;JUSSARA;microrregiao;916.0;33608.0;;14.0;17.0;314.0;193.0;1366.0;media
BA;MORRO DO CHAPEU;microrregiao;2451.0;336682.0;;648.0;53.0;455.0;166.0;1798.0;media
BA;PRESIDENTE OUTRA;microrregiao;976.0;14717.0;;42.0;233.0;1211.0;257.0;923.0;media
BA;CHAPADA DIAMANTINA MERIDIONAL;microrregiao;;58571.0;;4579.0;1352.0;11253.0;5371.0;38938.0;media
BA;ABAIRA;municipio;;1458.0;;;26.0;244.0;66.0;539.0;media
BA;AGUA QUENTE;municipio;;1001.0;;;;;;;media
BA;ANDARA(;municipio;;1538.0;;765.0;248.0;761.0;1113.0;3261.0;media
BA;BARRA DA ESTIVA;municipio;;1540.0;;82.0;17.0;150.0;165.0;915.0;media
BA;BONINAL;municipio;;1592.0;;;;;27.0;154.0;media
BA;BOQUIRA;municipio;;2860.0;;15.0;38.0;112.0;168.0;654.0;media
BA;BOTUPORÃ;municipio;;4363.0;;12.0;100.0;411.0;291.0;2053.0;media
BA;BROTAS DE MACAUBAS;municipio;;2560.0;;86.0;;10.0;70.0;219.0;media
BA;CONTENDAS DO SINCDRA;municipio;;443.0;;;;;216.0;4101.0;media
BA;(BICOARA;municipio;;982.0;;;35.0;106.0;40.0;500.0;media
BA;IBIPITANGA;municipio;;2084.0;;;;45.0;106.0;723.0;media
